Name,VUID
Safetap Apollo PVC Safety Shoes (6 no),CP-023470-1
Safetap Apollo PVC Safety Shoes (7 no),CP-023470-2
Metal/Steel Cutting Blade  (Size: 14 inch),CP-218683-2
Spades/Pawda Regular 8 No. without Handle  (Size: 8 no.),CP-522929-1
Bitumen (Damar) 9015 ,CP-058941-1
Wooden Taar/Wire Brush  ,CP-038739-1
Kantan Hessian Cloth / Jute Brown (Width 1 Meter) ,CP-049621-1
Measuring Tape (Steel) (5 meter),CP-796865-1
Measuring Tape (Steel) (30 meter),CP-796865-2
16 AMP 5 Pin 3 Phase Industrial Plug ,CP-968013-1
Shovel with Handle ,CP-740924-1
